,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
2004-03-31,A001040,A014820,A007700,A001370,A004020,A006200,A030200,A033780,A003550,A006360,A010120,A001120,A051900,A012990,A006260,A066570,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001510,A006120,A017670,A011810,A024070,A012200,A027840,A003660,A010130,A002240,A002540,A009290,A017900,A007690,A060000,A008670,A006250,A002380,A002990,A011780,A001210,A000270,A008350,A025860,A003050,A002350,A004370,A009280,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A006650,A001440,A003490,A004830,A016380,A000990,A006600,A000640,A007340,A010060,A008970,A049770,A000020,A000150,A034020,A003160,A026890,A000320,A004010,A002270,A025560,A035150,A007210,A003000,A005280,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A000390,A008000,A005070,A008490,A004980,A000180,A003030,A029530,A009200,A011930,A004170,A009270,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A011090,A012750,A014440,A007310,A001800,A004940,A053000,A016880,A021240,A000100,A008730,A005950,A003120,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A012600,A006380,A029460,A007810,A002020,A011020,A031820,A015890,A002790,A009080,A025930,A001020,A010770,A025000,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A024720,A000240,A018880,A008930,A016830,A020000,A004150,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,A005870,A005010,,
2004-06-11,A004560,A001040,A001370,A004020,A017300,A006200,A030200,A033780,A032390,A003550,A006360,A010120,A001120,A068870,A051900,A012990,A006260,A066570,A005940,A051910,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A017900,A007690,A060000,A008670,A002380,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A003960,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A007210,A003000,A005280,A005180,A005850,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A002020,A011020,A015890,A003240,A002790,A009080,A003570,A025930,A010820,A016800,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2004-06-29,A004560,A001040,A001370,A004020,A017300,A006200,A030200,A033780,A032390,A003550,A006360,A010120,A001120,A068870,A051900,A012990,A006260,A066570,A005940,A051910,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A017900,A007690,A060000,A008670,A002380,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A007210,A003000,A005280,A005180,A005850,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A002020,A011020,A015890,A003240,A002790,A009080,A003570,A025930,A010820,A016800,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2004-07-01,A004560,A001040,A001370,A004020,A017300,A006200,A030200,A033780,A032390,A003550,A006360,A010120,A001120,A068870,A051900,A012990,A006260,A066570,A005940,A051910,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A017900,A007690,A060000,A008670,A002380,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A005850,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A005420,A002020,A011020,A015890,A003240,A002790,A009080,A003570,A025930,A010820,A016800,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2004-12-10,A004560,A001040,A001370,A004020,A017300,A006200,A030200,A033780,A032390,A003550,A006360,A010120,A001120,A068870,A051900,A012990,A006260,A066570,A005940,A034220,A051910,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A007690,A060000,A008670,A002380,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A005850,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A005420,A002020,A011020,A015890,A003240,A002790,A009080,A003570,A025930,A010820,A016800,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2004-12-21,A004560,A001040,A001370,A004020,A017300,A006200,A030200,A033780,A032390,A003550,A006360,A010120,A001120,A068870,A051900,A012990,A006260,A066570,A005940,A034220,A051910,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A007690,A060000,A002380,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A001830,A002030,A006840,A005850,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A003690,A005420,A002020,A011020,A015890,A003240,A002790,A009080,A003570,A025930,A010820,A016800,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2005-04-01,A004560,A001040,A001370,A006360,A004020,A002380,A006200,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A012990,A066570,A005940,A034220,A051910,A010120,A006260,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A035250,A000050,A012200,A003660,A010130,A002240,A009290,A017900,A007690,A060000,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A064960,A042660,A042670,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A001830,A016380,A000990,A000640,A007340,A013570,A010060,A049770,A000150,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A000670,A007310,A001800,A004940,A053000,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A020760,A015860,A033240,A009720,A030000,A001300,A000480,A001060,A029460,A064420,A007810,A003690,A005420,A002020,A011020,A005740,A015890,A003240,A002790,A003570,A025930,A010820,A016800,A009080,A010770,A025000,A058430,A017810,A005810,A002860,A000660,A000140,A036460,A025540,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A025850,A004800,A069260,,
2005-06-10,A004560,A001040,A001370,A006360,A004020,A002380,A006200,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A012990,A066570,A034220,A051910,A010120,A006260,A005490,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A067250,A035250,A010130,A002240,A009290,A007690,A060000,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A047050,A064960,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A001830,A016380,A000990,A000640,A007340,A013570,A001520,A010060,A049770,A000150,A042670,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A008900,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A015890,A003240,A002790,A003570,A025930,A063350,A010820,A016800,A009080,A010770,A025000,A058430,A005810,A002860,A000660,A000140,A036460,A071050,A025540,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A004800,A069260,,
2005-07-14,A004560,A001040,A001370,A006360,A004020,A002380,A006200,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A012990,A066570,A034220,A051910,A010120,A006260,A005490,A003570,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A067250,A035250,A010130,A002240,A009290,A007690,A060000,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A047050,A064960,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A001830,A016380,A000990,A000640,A007340,A013570,A001520,A010060,A049770,A000150,A042670,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A036530,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A007190,A008900,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A015890,A003240,A002790,A025930,A063350,A010820,A016800,A010770,A025000,A058430,A005810,A002860,A000660,A000140,A036460,A071050,A025540,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A004800,A069260,,
2005-12-13,A004560,A001040,A001370,A006360,A004020,A002380,A006200,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A012990,A066570,A034220,A051910,A010120,A006260,A005490,A036530,A003570,A010950,A034120,A025530,A003600,A011790,A006120,A017670,A067250,A035250,A010130,A002240,A009290,A007690,A060000,A002990,A011780,A001210,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A003540,A047040,A047050,A064960,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A004830,A001230,A001830,A016380,A000990,A000640,A007340,A013570,A001520,A010060,A049770,A000150,A042670,A034020,A003160,A000320,A002270,A004990,A005300,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A000390,A008000,A005070,A004980,A001430,A003030,A033530,A029530,A009200,A011930,A004170,A055550,A007190,A008900,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007660,A005950,A003200,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A015890,A003240,A002790,A025930,A063350,A010820,A016800,A010770,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A009540,A003450,A005380,A010520,A011170,A004800,A069260,,
2006-06-09,A001040,A001370,A078930,A006360,A002380,A006200,A030200,A033780,A032390,A001120,A068870,A051900,A012990,A066570,A032710,A034220,A051910,A010120,A006260,A005490,A036530,A003570,A010950,A034120,A003600,A011790,A001740,A006120,A017670,A077970,A067250,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A064960,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A001230,A001830,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000150,A042670,A034020,A000320,A002270,A023530,A004990,A005300,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A001430,A003030,A033530,A013240,A029530,A009200,A011930,A004170,A055550,A007190,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A005950,A000230,A007570,A015860,A033240,A009720,A030000,A001300,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A003240,A002790,A008900,A025930,A063350,A010820,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A004800,A069260,,
2007-04-12,A001040,A001370,A078930,A006360,A002380,A006200,A030200,A033780,A032390,A001120,A068870,A051900,A012990,A066570,A032710,A034220,A051910,A010120,A006260,A005490,A036530,A064960,A003570,A010950,A034120,A003600,A011790,A001740,A006120,A017670,A077970,A067250,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A001230,A001830,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000150,A042670,A034020,A000320,A002270,A023530,A004990,A005300,A009200,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A001430,A003030,A033530,A013240,A029530,A011930,A004170,A055550,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A005950,A007190,A000230,A007570,A015860,A033240,A009720,A030000,A001300,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A015890,A003240,A002790,A008900,A010820,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A016580,A004800,A069260,,
2007-04-27,A001040,A001370,A078930,A006360,A002380,A006200,A030200,A033780,A032390,A001120,A068870,A051900,A012990,A066570,A032710,A034220,A051910,A010120,A006260,A005490,A036530,A064960,A003570,A010950,A034120,A003600,A011790,A001740,A006120,A017670,A077970,A067250,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A001230,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000150,A042670,A034020,A000320,A002270,A023530,A004990,A005300,A009200,A025560,A003000,A005280,A005180,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A004230,A001430,A003030,A033530,A013240,A029530,A011930,A004170,A055550,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A005950,A007190,A000230,A007570,A015860,A033240,A009720,A030000,A001300,A001630,A001060,A006380,A029460,A064420,A007810,A003690,A002020,A011020,A005740,A015890,A003240,A002790,A008900,A010820,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A000240,A002390,A018880,A008930,A020000,A004710,A004150,A025750,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A016580,A004800,A069260,,
2007-06-15,A001040,A001370,A078930,A006360,A002380,A006200,A030200,A033780,A032390,A001120,A068870,A051900,A012990,A066570,A034220,A051910,A010120,A006260,A005490,A036530,A064960,A003570,A010950,A034120,A003600,A011790,A001740,A006120,A017670,A077970,A067250,A011000,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A003830,A001230,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000020,A000150,A042670,A034020,A002270,A023530,A004990,A005300,A009200,A025560,A037620,A084870,A003000,A005280,A005180,A006400,A000830,A028050,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A001430,A003030,A027970,A013240,A029530,A011930,A004170,A055550,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007190,A000230,A003120,A007570,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A006380,A029460,A064420,A003690,A002020,A005740,A003240,A002790,A008900,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A017960,A000240,A018880,A042700,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A016580,A004800,A069260,,
2007-09-14,A001040,A001370,A078930,A006360,A002380,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A012990,A066570,A034220,A051910,A010120,A006260,A005490,A036530,A064960,A003570,A010950,A034120,A003600,A011790,A001740,A096770,A006120,A017670,A077970,A067250,A011000,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A003830,A001230,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000020,A000150,A042670,A034020,A002270,A023530,A004990,A005300,A009200,A025560,A037620,A084870,A003000,A005280,A005180,A006400,A000830,A028050,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A001430,A003030,A027970,A013240,A029530,A011930,A004170,A055550,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007190,A000230,A003120,A007570,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A029460,A064420,A003690,A002020,A005740,A003240,A002790,A008900,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A017960,A000240,A018880,A042700,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A016580,A004800,A069260,,
2007-10-30,A001040,A001370,A078930,A006360,A002380,A030200,A033780,A032390,A003550,A001120,A068870,A051900,A066570,A034220,A051910,A010120,A006260,A005490,A036530,A064960,A003570,A010950,A034120,A003600,A011790,A001740,A096770,A006120,A017670,A077970,A067250,A011000,A035250,A010130,A002240,A009290,A060000,A002990,A011780,A001210,A073240,A000270,A024110,A003920,A025860,A002350,A006280,A004370,A019680,A005270,A004130,A008060,A000210,A001680,A047040,A047050,A042660,A006800,A069620,A000430,A006650,A001440,A001130,A003490,A003830,A001230,A016380,A000990,A010780,A000640,A013570,A001520,A010060,A049770,A014820,A000020,A000150,A042670,A034020,A002270,A023530,A004990,A005300,A009200,A025560,A037620,A084870,A003000,A005280,A005180,A006400,A000830,A028050,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003230,A003940,A005680,A005500,A008000,A004980,A001430,A003030,A027970,A013240,A029530,A011930,A004170,A055550,A003410,A003620,A002030,A006840,A005850,A012750,A036570,A003520,A000670,A007310,A002630,A001800,A004940,A053000,A005940,A021240,A003640,A000100,A008730,A007190,A000230,A003120,A007570,A015860,A033240,A009720,A030000,A001300,A000480,A001630,A001060,A006380,A029460,A064420,A003690,A002020,A005740,A003240,A002790,A008900,A016800,A025000,A058430,A005810,A086790,A000660,A000140,A036460,A071050,A025540,A002000,A015760,A002300,A001940,A017960,A000240,A018880,A042700,A008930,A020000,A004710,A004150,A003300,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A069960,A012630,A011200,A006390,A017800,A042100,A004020,A009540,A003450,A005380,A010520,A011170,A016580,A004800,A069260,,
